timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
53118323,53118258,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
53192537,53192472,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
53280555,53280490,0.0,0.0,-0.148,1.0,0.5,0.0,0.0,0.0
53337531,53337463,0.0,0.0,-0.23,1.0,0.5,0.0,0.0,0.0
53388587,53388493,0.0,0.0,-0.251,1.0,0.5,0.0,0.0,0.0
53440540,53440476,0.0,0.0,-0.251,1.0,0.5,0.0,0.0,0.0
53493561,53493492,0.0,0.0,-0.251,1.0,0.5,0.0,0.0,0.0
53547603,53547503,0.0,0.0,-0.251,1.0,0.5,0.0,0.0,0.0
53597559,53597494,0.0,0.0,-0.251,1.0,0.5,0.0,0.0,0.0
53649543,53649478,0.0,0.0,-0.261,1.0,0.5,0.0,0.0,0.0
53701563,53701498,0.0,0.0,-0.333,1.0,0.5,0.0,0.0,0.0
53757610,53757516,0.0,0.0,-0.446,1.0,0.5,0.0,0.0,0.0
53809539,53809474,0.0,0.0,-0.723,1.0,0.5,0.0,0.0,0.0
53862541,53862473,0.0,0.0,-0.928,1.0,0.5,0.0,0.0,0.0
53914538,53914473,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,0.0
53967544,53967479,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,0.0
54018540,54018475,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,0.0
54071528,54071463,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,0.0
54123619,54123524,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,0.0
54173865,54173800,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
54227571,54227506,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
54279531,54279466,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
54332543,54332474,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
54384558,54384493,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
54436543,54436474,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
54492543,54492478,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
54544557,54544492,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
54595140,54595037,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
54649542,54649477,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
54701544,54701475,0.0,0.0,0.958,1.0,0.5,0.0,0.0,0.0
54753555,54753474,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
54807545,54807476,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
54859561,54859496,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
54911528,54911463,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
54963561,54963495,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55015618,55015553,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55067617,55067519,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55122433,55122364,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55172540,55172475,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55224620,55224555,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55276543,55276477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55332608,55332518,0.0,0.0,0.189,1.0,0.5,0.0,0.0,0.0
55382625,55382524,0.0,0.0,0.466,1.0,0.5,0.0,0.0,0.0
55435587,55435490,0.0,0.0,0.558,1.0,0.5,0.0,0.0,0.0
55488619,55488550,0.0,0.0,0.056,1.0,0.5,0.0,0.0,0.0
55541543,55541475,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55594528,55594463,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55647544,55647476,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55699539,55699474,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55751531,55751462,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55803543,55803478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55856544,55856475,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55908589,55908524,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
55960544,55960476,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56011763,56011688,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56064540,56064475,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56117592,56117527,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56169558,56169493,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
56224543,56224478,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
56276564,56276499,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0
56328593,56328493,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56381542,56381477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56433543,56433478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56487561,56487496,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56534544,56534479,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56590543,56590478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56642564,56642499,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56694592,56694527,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56747531,56747466,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
56799566,56799501,0.0,0.0,-0.138,1.0,0.5,0.0,0.0,0.0
56854543,56854478,0.0,0.0,-1.0,1.0,0.5,0.0,0.0,0.0
56902542,56902477,0.0,0.0,-0.876,1.0,0.5,0.0,0.0,0.0
56958793,56958728,0.0,0.0,-0.876,1.0,0.5,0.0,0.0,0.0
57011542,57011477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57060493,57060391,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57116623,57116554,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57166581,57166516,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57218603,57218538,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57272543,57272478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57324542,57324477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57376543,57376478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57432567,57432502,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57480555,57480490,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57536616,57536521,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57589664,57589595,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57641542,57641477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57693561,57693496,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57745579,57745484,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57798627,57798557,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57849545,57849480,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57902590,57902501,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
57954531,57954466,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58006547,58006482,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58059614,58059522,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58110597,58110528,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58167542,58167477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58219564,58219499,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58271625,58271556,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58323564,58323499,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58376617,58376526,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58428546,58428477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58480721,58480652,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58532543,58532478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58585544,58585479,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58636585,58636485,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58689624,58689559,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58744621,58744556,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58797531,58797466,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58849614,58849546,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58901547,58901482,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
58953663,58953593,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59005551,59005482,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59057565,59057496,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59109545,59109480,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59162698,59162603,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59217659,59217594,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59269546,59269477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59320080,59320015,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59374546,59374478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59425565,59425499,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59477588,59477493,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59530608,59530492,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59581544,59581479,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59636561,59636496,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59686585,59686520,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59741547,59741482,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59793564,59793499,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59846588,59846493,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59898623,59898555,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
59952544,59952479,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60001572,60001507,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60057545,60057480,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60106545,60106480,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60160543,60160478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60214788,60214718,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60266570,60266505,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60317622,60317553,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60372485,60372407,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60422542,60422477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60473339,60473273,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60529543,60529478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60581659,60581594,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60633544,60633479,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60687546,60687478,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60738113,60738042,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60791544,60791479,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60844531,60844466,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60896561,60896496,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
60949621,60949526,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
61001545,61001477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
61054624,61054555,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
61106602,61106537,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
61155582,61155488,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
61209542,61209477,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
61258637,61258571,0.0,0.066,0.0,1.0,0.5,0.0,0.0,0.0
61316531,61316466,0.0,0.189,0.0,1.0,0.5,0.0,0.0,0.0
61366552,61366481,0.0,0.323,0.0,1.0,0.5,0.0,0.0,0.0
61421574,61421505,0.0,0.497,0.0,1.0,0.5,0.0,0.0,0.0
61472659,61472594,0.0,0.579,0.0,1.0,0.5,0.0,0.0,0.0
61525657,61525552,0.0,0.723,0.0,1.0,0.5,0.0,0.0,0.0
61575543,61575478,0.0,0.794,0.0,1.0,0.5,0.0,0.0,0.0
61630546,61630477,0.0,0.856,0.0,1.0,0.5,0.0,0.0,0.0
61683563,61683494,0.0,0.969,0.0,1.0,0.5,0.0,0.0,0.0
61732546,61732477,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
61789544,61789479,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
61840564,61840496,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
61892534,61892466,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
61945621,61945556,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
61997542,61997477,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
62051406,62051341,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
62104545,62104477,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
62156548,62156478,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0
62209687,62209622,0.0,0.989,0.0,1.0,0.5,0.0,0.0,0.0
62262566,62262501,0.0,0.917,0.0,1.0,0.5,0.0,0.0,0.0
62311546,62311481,0.0,0.846,0.0,1.0,0.5,0.0,0.0,0.0
62364542,62364477,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
62417531,62417466,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
62471531,62471466,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
62523565,62523500,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
62576544,62576479,0.0,0.846,0.0,1.0,0.5,0.0,0.0,0.0
62625542,62625477,0.0,0.846,0.0,1.0,0.5,0.0,0.0,0.0
62679534,62679469,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
62733531,62733466,0.0,0.846,0.0,1.0,0.5,0.0,0.0,0.0
62786672,62786573,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
62836627,62836558,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
62891666,62891601,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
62943540,62943475,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
62996565,62996496,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
63048542,63048477,0.0,0.835,0.0,1.0,0.5,0.0,0.0,0.0
63100655,63100590,0.0,0.856,0.0,1.0,0.5,0.0,0.0,0.0
63151547,63151482,0.0,0.907,0.0,1.0,0.5,0.0,0.0,0.0
63206218,63206152,0.0,0.907,0.0,1.0,0.5,0.0,0.0,0.0
63258587,63258493,0.0,0.907,0.0,1.0,0.5,0.0,0.0,0.0
63308616,63308551,0.0,0.907,0.0,1.0,0.5,0.0,0.0,0.0
63363544,63363479,0.0,0.907,0.0,1.0,0.5,0.0,0.0,0.0
63417542,63417477,0.0,0.897,0.0,1.0,0.5,0.0,0.0,0.0
63468563,63468494,0.0,0.887,0.0,1.0,0.5,0.0,0.0,0.0
63516620,63516520,0.0,0.887,0.0,1.0,0.5,0.0,0.0,0.0
63571543,63571478,0.0,0.887,0.0,1.0,0.5,0.0,0.0,0.0
63625586,63625517,0.0,0.866,0.0,1.0,0.5,0.0,0.0,0.0
63679592,63679527,0.0,0.856,0.0,1.0,0.5,0.0,0.0,0.0
63731542,63731477,0.0,0.794,0.0,1.0,0.5,0.0,0.0,0.0
63784558,63784492,0.0,0.764,0.0,1.0,0.5,0.0,0.0,0.0
63837623,63837558,0.0,0.682,0.0,1.0,0.5,0.0,0.0,0.0
63889544,63889479,0.0,0.641,0.0,1.0,0.5,0.0,0.0,0.0
63939610,63939545,0.0,0.599,0.0,1.0,0.5,0.0,0.0,0.0
63993531,63993466,0.0,0.599,0.0,1.0,0.5,0.0,0.0,0.0
64047561,64047496,0.0,0.599,0.0,1.0,0.5,0.0,0.0,0.0
64098564,64098499,0.025,0.599,0.0,1.0,0.5,0.0,0.0,0.0
64149588,64149493,0.158,0.599,0.0,1.0,0.5,0.0,0.0,0.0
64199146,64199043,0.158,0.599,0.0,1.0,0.5,0.0,0.0,0.0
64256546,64256481,0.702,0.599,0.0,1.0,0.5,0.0,0.0,0.0
64308543,64308475,1.0,0.599,0.0,1.0,0.5,0.0,0.0,0.0
64360534,64360469,1.0,0.61,0.0,1.0,0.5,0.0,0.0,0.0
64414548,64414479,1.0,0.61,0.0,1.0,0.5,0.0,0.0,0.0
64467583,64467483,1.0,0.62,0.0,1.0,0.5,0.0,0.0,0.0
64517592,64517526,1.0,0.661,0.0,1.0,0.5,0.0,0.0,0.0
64569546,64569477,0.599,0.784,0.0,1.0,0.5,0.0,0.0,0.0
64622547,64622482,0.599,0.784,0.0,1.0,0.5,0.0,0.0,0.0
64675536,64675471,0.251,0.846,0.0,1.0,0.5,0.0,0.0,0.0
64726551,64726478,0.046,0.887,0.0,1.0,0.5,0.0,0.0,0.0
64781566,64781501,0.0,0.887,0.0,1.0,0.5,0.0,0.0,0.0
64830549,64830480,0.0,0.876,0.0,1.0,0.5,0.0,0.0,0.0
64883534,64883466,0.0,0.856,0.0,1.0,0.5,0.0,0.0,0.0
64937622,64937557,0.0,0.856,0.0,1.0,0.5,0.0,0.0,0.0
64992655,64992590,-0.302,0.846,0.0,1.0,0.5,0.0,0.0,0.0
65044545,65044480,-0.302,0.846,0.0,1.0,0.5,0.0,0.0,0.0
65092548,65092479,-1.0,0.774,0.0,1.0,0.5,0.0,0.0,0.0
65148546,65148480,-1.0,0.733,0.0,1.0,0.5,0.0,0.0,0.0
65199543,65199478,-1.0,0.682,0.0,1.0,0.5,0.0,0.0,0.0
65253621,65253520,-1.0,0.661,0.0,1.0,0.5,0.0,0.0,0.0
65306545,65306477,-1.0,0.661,0.0,1.0,0.5,0.0,0.0,0.0
65357562,65357497,-1.0,0.661,0.0,1.0,0.5,0.0,0.0,0.0
65411593,65411524,-1.0,0.671,0.0,1.0,0.5,0.0,0.0,0.0
65464574,65464509,-1.0,0.671,0.0,1.0,0.5,0.0,0.0,0.0
65517544,65517479,-0.815,0.671,0.0,1.0,0.5,0.0,0.0,0.0
65568574,65568509,-0.282,0.682,0.0,1.0,0.5,0.0,0.0,0.0
65620531,65620466,-0.169,0.682,0.0,1.0,0.5,0.0,0.0,0.0
65673542,65673477,-0.035,0.682,0.0,1.0,0.5,0.0,0.0,0.0
65726564,65726496,-0.035,0.682,0.0,1.0,0.5,0.0,0.0,0.0
65779563,65779494,-0.035,0.692,0.0,1.0,0.5,0.0,0.0,0.0
65831542,65831477,-0.035,0.712,0.0,1.0,0.5,0.0,0.0,0.0
65883957,65883892,0.0,0.784,0.0,1.0,0.5,0.0,0.0,0.0
65937564,65937496,0.0,0.805,0.0,1.0,0.5,0.0,0.0,0.0
65986662,65986597,0.0,0.805,0.0,1.0,0.5,0.0,0.0,0.0
66040586,66040521,0.0,0.805,0.0,1.0,0.5,0.0,0.0,0.0
66091613,66091548,0.0,0.794,0.0,1.0,0.5,0.0,0.0,0.0
66145564,66145499,0.0,0.774,0.0,1.0,0.5,0.0,0.0,0.0
66199546,66199477,0.0,0.733,0.0,1.0,0.5,0.0,0.0,0.0
66250547,66250482,0.0,0.733,0.0,1.0,0.5,0.0,0.0,0.0
66303544,66303479,0.0,0.733,0.0,1.0,0.5,0.0,0.0,0.0
66356620,66356555,0.128,0.712,0.0,1.0,0.5,0.0,0.0,0.0
66410017,66409952,0.128,0.712,0.0,1.0,0.5,0.0,0.0,0.0
66457751,66457683,0.702,0.62,0.0,1.0,0.5,0.0,0.0,0.0
66512531,66512466,0.774,0.579,0.0,1.0,0.5,0.0,0.0,0.0
66566564,66566496,0.774,0.579,0.0,1.0,0.5,0.0,0.0,0.0
66619531,66619465,0.353,0.517,0.0,1.0,0.5,0.0,0.0,0.0
66669163,66669098,0.353,0.517,0.0,1.0,0.5,0.0,0.0,0.0
66724572,66724507,0.292,0.517,0.0,1.0,0.5,0.0,0.0,0.0
66772518,66772420,0.292,0.517,0.0,1.0,0.5,0.0,0.0,0.0
